comparison,condition,measure,sig,perm_p,x_mean,x_std,y_mean,y_std,mean_diff,ci_lower,ci_upper,t-stat
sherlock_no_case__fnl_has_case,recall,fd_mean,**,0.008798240351929614,0.2869501558585558,0.11608193469299379,0.4666194431838028,0.36193410686602057,-0.17966928732524695,-0.3425513774681745,-0.05107754446234402,-2.3529004294505556
sherlock_no_case__fnl_has_case,recall,fd_mean_filter,,0.8570285942811438,0.18139245596517056,0.03438171139508719,0.17965134655788895,0.01934165386140953,0.0017411094072816158,-0.016274193531375502,0.017962363563774907,0.19005676499269125
sherlock_no_case__fnl_has_case,recall,fd_median,*,0.012997400519896021,0.24953467529411769,0.09722913846226292,0.3558037360961539,0.1767936617427097,-0.10626906080203621,-0.18791417618339934,-0.029379551621945745,-2.534355146855033
sherlock_no_case__fnl_has_case,recall,fd_median_filter,,0.8290341931613677,0.18171751464705882,0.039030163085986426,0.1840918720769231,0.02542381459918884,-0.0023743574298642767,-0.02355697045082014,0.016751130163376697,-0.2219224954744597
sherlock_no_case__fnl_has_case,recall,perc_spikes,*,0.02539492101579684,0.34542902137697185,0.2301241841400097,0.516412068779134,0.23724722601003775,-0.1709830474021622,-0.3060257870111111,-0.032062185344214435,-2.3530808645732586
fnl_no_case__sherlock_no_case,view,fd_mean,,0.4887022595480904,0.1126269930899796,0.044803412150721485,0.12106306971855861,0.039028171978948874,-0.008436076628579009,-0.032028196058494704,0.014726668383935429,-0.7033667528218219
fnl_no_case__fnl_has_case,view,fd_mean,,0.4941011797640472,0.1126269930899796,0.044803412150721485,0.1287730038948787,0.101840265312324,-0.016146010804899094,-0.06252910525156691,0.020381111812359333,-0.7584767560039771
sherlock_no_case__fnl_has_case,view,fd_mean,,0.7758448310337932,0.12106306971855861,0.039028171978948874,0.1287730038948787,0.101840265312324,-0.007709934176320085,-0.05344393799328316,0.031193140863151805,-0.3488331545739027
fnl_no_case__sherlock_no_case,view,fd_mean_filter,,0.1339732053589282,0.09319480441133474,0.025150806077837123,0.1041873626878395,0.02396726374556869,-0.010992558276504763,-0.025141538053887746,0.0022455839028165015,-1.5409850070701177
fnl_no_case__fnl_has_case,view,fd_mean_filter,,0.2439512097580484,0.09319480441133474,0.025150806077837123,0.08542861166456796,0.02589458880791737,0.0077661927467667785,-0.005211969033169204,0.02061314863826518,1.1859076832927222
sherlock_no_case__fnl_has_case,view,fd_mean_filter,*,0.021595680863827234,0.1041873626878395,0.02396726374556869,0.08542861166456796,0.02589458880791737,0.01875875102327154,0.0046502593246135985,0.03389030594888486,2.4302735881690607
fnl_no_case__sherlock_no_case,view,fd_median,*,0.04479104179164167,0.08476957810810812,0.028600248874262296,0.10197530912500001,0.028442063313944412,-0.017205731016891893,-0.034109266556066165,-0.0018282060495081877,-2.061006155099571
fnl_no_case__fnl_has_case,view,fd_median,,0.393121375724855,0.08476957810810812,0.028600248874262296,0.07826347711538459,0.03041475404055148,0.006506100992723529,-0.00869161270779619,0.021285603881782758,0.8566108385258197
sherlock_no_case__fnl_has_case,view,fd_median,*,0.015196960607878424,0.10197530912500001,0.028442063313944412,0.07826347711538459,0.03041475404055148,0.02371183200961542,0.006946025385746677,0.04179068482620196,2.600136696314863
fnl_no_case__sherlock_no_case,view,fd_median_filter,*,0.022395520895820836,0.08137932136486487,0.02524904018076797,0.09905919904411764,0.02559284978254334,-0.017679877679252776,-0.03249749706508347,-0.0040371942031598084,-2.367669739945565
fnl_no_case__fnl_has_case,view,fd_median_filter,,0.1915616876624675,0.08137932136486487,0.02524904018076797,0.07286044496153846,0.024865187744684634,0.008518876403326409,-0.0046060347215696445,0.02111021064915541,1.3302625122286365
sherlock_no_case__fnl_has_case,view,fd_median_filter,**,0.0021995600879824036,0.09905919904411764,0.02559284978254334,0.07286044496153846,0.024865187744684634,0.026198754082579184,0.011589705888404975,0.04176158275243213,3.3189856732913157
fnl_no_case__sherlock_no_case,view,perc_spikes,,0.46550689862027594,0.04519045824988598,0.047599624009626106,0.03598078534272203,0.04139965131244902,0.00920967290716395,-0.015893787421493968,0.033363336726912794,0.7234568447403878
fnl_no_case__fnl_has_case,view,perc_spikes,,0.36312737452509497,0.04519045824988598,0.047599624009626106,0.06047180992155314,0.07499276237191975,-0.015281351671667158,-0.04914834129801114,0.01546644844517186,-0.9172734641103961
sherlock_no_case__fnl_has_case,view,perc_spikes,,0.1847630473905219,0.03598078534272203,0.04139965131244902,0.06047180992155314,0.07499276237191975,-0.024491024578831108,-0.06022524308115672,0.009381175995433562,-1.375284289870268
